[2023.09.12 16:31:50.534] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.12 16:31:50.543] [Error:500] /dataSelectList.json/n Error: connect ECONNREFUSED ::1:8080
    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1495:16)/n
[2023.09.12 16:31:50.545] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.12 16:31:50.547] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.12 16:32:22.606] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 16:32:22.607] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.12 16:32:37.372] [HTTP] /dataInsert.json (Method: POST, IP: ::1)
[2023.09.12 16:32:37.375] [Error:500] /dataInsert.json/n Error: connect ECONNREFUSED ::1:8080
    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1495:16)/n
[2023.09.12 16:56:24.821] [HTTP] /dataSelectList.json (Method: GET, IP: ::1)
[2023.09.12 16:56:24.824] [Error:500] /dataSelectList.json/n Error: connect ECONNREFUSED ::1:8080
    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1495:16)/n
[2023.09.12 17:37:30.405] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.12 17:37:44.145] [HTTP] / (Method: GET, IP: ::1)
[2023.09.12 17:37:44.204] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 17:37:44.209] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.12 17:37:44.212] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.12 17:37:44.214] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.12 17:37:44.262] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.12 17:37:44.264] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.12 17:37:44.265] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.12 17:37:44.266] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.12 17:37:44.270] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
[2023.09.12 17:37:44.271] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.12 17:37:44.274] [HTTP] /client/resources/jpg/new1.jpg (Method: GET, IP: ::1)
[2023.09.12 17:37:44.275] [HTTP] /client/resources/jpg/new2.jpg (Method: GET, IP: ::1)
[2023.09.12 17:37:44.277] [HTTP] /client/resources/jpg/new3.jpg (Method: GET, IP: ::1)
[2023.09.12 17:37:44.279] [HTTP] /client/resources/jpg/new4.jpg (Method: GET, IP: ::1)
[2023.09.12 17:37:44.281] [HTTP] /client/resources/jpg/ba.jpg (Method: GET, IP: ::1)
[2023.09.12 17:37:44.377] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.09.12 17:37:44.380] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\sw1\Desktop\project_setting_manual-front-end_v1.1\favicon.ico'/n
[2023.09.12 17:37:54.400] [HTTP] /dataSelectList.json (Method: POST, IP: ::1)
[2023.09.12 17:37:54.422] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.12 17:37:54.423] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.12 17:37:54.424] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.12 17:37:54.424] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.12 17:37:54.425] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.12 17:37:54.431] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.12 17:37:54.432] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.12 17:37:58.746] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 17:37:58.747] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
