[2023.09.14 13:21:41.333] [HTTP] /client/resources/img/ade_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.334] [HTTP] /client/resources/img/smoothie_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.334] [HTTP] /client/resources/img/frappuccino_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:21:41.337] [HTTP] /client/resources/img/coke_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:21:43.692] [HTTP] /menuDelete.zz?product_index=1 (Method: DELETE, IP: ::1)
[2023.09.14 13:31:12.954] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.14 13:31:12.966] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.14 13:31:12.967] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.14 13:31:12.967] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.14 13:31:12.968] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.14 13:31:13.037] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.038] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.040] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.041] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.042] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.043] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.044] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.045] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.14 13:31:13.066] [HTTP] /client/resources/img/americano_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.068] [HTTP] /client/resources/img/cafe_latte_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.069] [HTTP] /client/resources/img/ade_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.070] [HTTP] /client/resources/img/smoothie_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.073] [HTTP] /client/resources/img/frappuccino_icon.png (Method: GET, IP: ::1)
[2023.09.14 13:31:13.075] [HTTP] /client/resources/img/coke_icon.png (Method: GET, IP: ::1)
